,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
36,1717227734,26.0 kilometer_per_hour,90 degree_Celsius,41.96078431372549 percent,23.92156862745098 percent,1717227734
37,1717227734,26.0 kilometer_per_hour,90 degree_Celsius,72.15686274509804 percent,25.49019607843137 percent,1717227734
38,1717227734,27.0 kilometer_per_hour,90 degree_Celsius,72.54901960784314 percent,25.49019607843137 percent,1717227734
39,1717227735,28.0 kilometer_per_hour,90 degree_Celsius,72.15686274509804 percent,25.49019607843137 percent,1717227735
40,1717227735,29.0 kilometer_per_hour,90 degree_Celsius,82.74509803921569 percent,28.235294117647058 percent,1717227735
41,1717227736,31.0 kilometer_per_hour,90 degree_Celsius,78.03921568627452 percent,26.666666666666668 percent,1717227736
42,1717227736,32.0 kilometer_per_hour,90 degree_Celsius,66.66666666666667 percent,25.098039215686274 percent,1717227736
43,1717227736,33.0 kilometer_per_hour,90 degree_Celsius,61.1764705882353 percent,24.705882352941178 percent,1717227737
44,1717227737,33.0 kilometer_per_hour,90 degree_Celsius,70.58823529411765 percent,27.058823529411764 percent,1717227737
45,1717227737,35.0 kilometer_per_hour,90 degree_Celsius,74.11764705882354 percent,28.235294117647058 percent,1717227737
46,1717227738,36.0 kilometer_per_hour,90 degree_Celsius,72.94117647058823 percent,27.84313725490196 percent,1717227738
47,1717227738,37.0 kilometer_per_hour,90 degree_Celsius,70.58823529411765 percent,27.45098039215686 percent,1717227738
48,1717227738,38.0 kilometer_per_hour,90 degree_Celsius,72.94117647058823 percent,27.45098039215686 percent,1717227739
49,1717227739,39.0 kilometer_per_hour,90 degree_Celsius,79.2156862745098 percent,30.19607843137255 percent,1717227739
50,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
51,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
52,1717228198,1.0 kilometer_per_hour,93 degree_Celsius,50.19607843137255 percent,20.392156862745097 percent,1717228198
53,1717228198,1.0 kilometer_per_hour,93 degree_Celsius,54.11764705882353 percent,20.784313725490197 percent,1717228199
54,1717228199,2.0 kilometer_per_hour,93 degree_Celsius,59.6078431372549 percent,21.568627450980394 percent,1717228199
55,1717228199,4.0 kilometer_per_hour,93 degree_Celsius,63.13725490196079 percent,22.352941176470587 percent,1717228199
